food_id,food_name,category_id,price_per_unit,description
76,Smart WiFi Plug,14,9.99,"Marinated chicken skewers with lemon and dill flavor, grilled to perfection."
77,Crafting Kit,13,14.99,Safety collar with flashing lights for pets during night walks.
78,Rain Jacket,10,3.29,"Rich and creamy tomato basil soup, perfect with a grilled cheese."
79,Over-Ear Headphones,6,5.99,Handy dispenser for quick access to safety pins.
80,First Aid Kit,11,3.59,A rich sauce perfect for pasta or drizzling over vegetables.
81,Weighted Blanket,6,24.99,Quote wall art to inspire and motivate.
82,Window Blinds,13,29.99,Energy-efficient lights to illuminate outdoor areas.
83,Kids Tablet,11,29.99,Portable solar shower for camping and outdoor use.
84,USB-C Hub,4,49.99,Sturdy camera tripod for professional photography.
85,Air Mattress,7,149.99,Large inflatable pool for summer fun in your backyard.
86,Hand Mixer,7,99.99,Charcoal kettle grill perfect for backyard barbecues.
87,Phone Screen Protector,12,34.99,Non-slip mat designed for yoga and fitness exercises.
88,Electric Bike,5,29.99,Countertop compost bin for kitchen waste.
89,Cooking Utensil Set,2,2.99,"Shredded potatoes, perfect for breakfasts."
90,Indoor Plants,8,39.99,Burr coffee grinder for fresh ground coffee.
91,Digital Food Scale,6,39.99,Automatic water fountain for pets with filtration.
92,Pet Bed,7,7.19,Roasted almonds dipped in rich dark chocolate.
93,Electric Wine Opener,12,3.49,"Crispy chips made from assorted garden vegetables, lightly salted."
94,Folding Table,2,24.99,Planter with self-watering feature for easy plant care.
95,Streaming Device,4,3.79,Fiery hot sauce made with fresh habaneros and spices.
96,Bike Helmet,15,14.99,Jump rope that counts your jumps for tracking workouts.
97,Insulated Cooler,11,2.99,"Crispy tortilla chips, perfect for dipping."
98,Hair Dryer,13,24.99,"Supportive sports bra designed for high-impact workouts, made with moisture-wicking fabric."
99,Digital Alarm Clock,11,3.99,Moist and flavorful muffins packed with fall spices and pumpkin puree.
100,Smart Light Bulbs,13,39.99,Adjustable stand for portable speakers and devices.
